,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
4,694,The Shining,44781695,"[27, 53]",10200,8.2,1980-05-22,en,The Shining,23.727
5,586863,Les Misérables,0,"[80, 18, 53]",286,8.2,2019-11-14,fr,Les Misérables,13.271
6,437068,A Taxi Driver,81927980,"[28, 18, 36]",216,8.2,2017-08-02,ko,택시운전사,9.55
7,38288,I Corti,0,[],276,8.2,1996-01-01,it,I Corti,7.216
8,77,Memento,39723096,"[9648, 53]",8860,8.2,2000-10-11,en,Memento,19.091
9,10494,Perfect Blue,112536,"[16, 53]",840,8.2,1997-07-25,ja,パーフェクトブルー,16.486
10,11878,Yojimbo,0,"[18, 53]",664,8.2,1961-04-25,ja,用心棒,17.304
11,996,Double Indemnity,2500000,"[80, 9648, 53]",871,8.2,1944-07-03,en,Double Indemnity,13.519
12,548,Rashomon,96568,"[80, 18, 9648]",1021,8.2,1950-08-26,ja,羅生門,12.955
13,103,Taxi Driver,28262574,"[80, 18]",6265,8.2,1976-02-07,en,Taxi Driver,21.324
14,411088,The Invisible Guest,30000000,"[80, 9648, 53]",2095,8.2,2016-09-22,es,Contratiempo,16.268
15,239,Some Like It Hot,25000000,"[35, 10749]",1826,8.2,1959-03-19,en,Some Like It Hot,14.585
16,339877,Loving Vincent,6735118,"[16, 18, 9648]",1451,8.2,2017-06-22,en,Loving Vincent,13.39
17,780,The Passion of Joan of Arc,0,"[18, 36]",406,8.2,1928-04-21,fr,La passion de Jeanne d'Arc,13.52
18,614,Wild Strawberries,0,[18],723,8.2,1957-12-26,sv,Smultronstället,13.733
19,429210,Bingo: The King of the Mornings,0,"[35, 18]",211,8.2,2017-08-24,pt,Bingo - O Rei das Manhãs,5.979
0,19542,The Red Shoes,0,"[18, 10749]",271,8.2,1948-07-20,en,The Red Shoes,9.209
1,1124,The Prestige,109676311,"[18, 9648, 53]",9370,8.2,2006-10-19,en,The Prestige,20.341
2,1396,Mirror,0,"[18, 36]",401,8.2,1975-03-07,ru,Зеркало,15.196
3,399106,Piper,0,"[10751, 16]",959,8.2,2016-06-16,en,Piper,9.805
