,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
424,425,"Faith, Hope & Love","$210,091","$210,091",100%,-,-
425,426,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-
426,427,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%
427,428,The Iron Orchard,"$204,881","$204,881",100%,-,-
428,429,Hesburgh,"$204,709","$204,709",100%,-,-
429,430,Working Woman,"$204,060","$64,048",31.4%,"$140,012",68.6%
430,431,Blink of an Eye,"$201,874","$201,874",100%,-,-
431,432,Zombi Child,"$198,612","$23,581",11.9%,"$175,031",88.1%
432,433,The Cave,"$197,097","$62,625",31.8%,"$134,472",68.2%
433,434,Buñuel in the Labyrinth of the Turtles,"$196,456","$36,205",18.4%,"$160,251",81.6%
434,435,Family,"$194,601","$194,601",100%,-,-
435,436,Little Joe,"$192,224","$23,862",12.4%,"$168,362",87.6%
436,437,Mr. Klein,"$191,953","$191,953",100%,-,-
437,438,The Divine Plan,"$190,031","$190,031",100%,-,-
438,439,To Dust,"$184,495","$184,495",100%,-,-
439,440,The River and the Wall,"$183,602","$183,602",100%,-,-
440,441,Giant Little Ones,"$181,507","$181,507",100%,-,-
441,442,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%
442,443,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%
443,444,Modest Heroes,"$178,027","$178,027",100%,-,-
444,445,The Warrior Queen of Jhansi,"$177,289","$177,289",100%,-,-
445,446,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-
446,447,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%
447,448,Bolshoi Ballet: The Golden Age,"$171,916","$171,916",100%,-,-
448,449,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%
449,450,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%
450,451,Britt-Marie Was Here,"$168,862","$36,549",21.6%,"$132,313",78.4%
451,452,Bright Ones,"$165,627","$165,627",100%,-,-
452,453,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%
453,454,Halston,"$163,446","$151,991",93%,"$11,455",7%
454,455,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-
455,456,Money,"$155,732","$155,732",100%,-,-
456,457,Before You Know It,"$151,507","$151,507",100%,-,-
457,458,Jay Myself,"$151,331","$151,331",100%,-,-
458,459,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-
459,460,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%
460,461,The Kingmaker,"$148,611","$122,587",82.5%,"$26,024",17.5%
461,462,Trial by Fire,"$148,504","$148,504",100%,-,-
462,463,War and Peace,"$148,503","$148,503",100%,-,-
463,464,Driven,"$147,172",-,-,"$147,172",100%
464,465,Framing John DeLorean,"$145,625","$145,625",100%,-,-
465,466,Citizen K,"$144,996","$119,466",82.4%,"$25,530",17.6%
466,467,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-
467,468,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-
468,469,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-
469,470,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-
470,471,Who Will Write Our History,"$138,039","$138,039",100%,-,-
471,472,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-
472,473,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%
473,474,The Other Story,"$135,191","$135,191",100%,-,-
474,475,Made in Abyss: Journey's Dawn,"$134,194","$134,047",99.9%,$147,0.1%
475,476,Be Natural: The Untold Story of Alice Guy-Blaché,"$133,160","$115,265",86.6%,"$17,895",13.4%
476,477,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%
477,478,Mister America,"$130,897","$130,897",100%,-,-
478,479,Little Monsters,"$130,381",-,-,"$130,381",100%
479,480,Section 375,"$129,916",-,-,"$129,916",100%
480,481,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-
