,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
29,30,A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%
30,31,Green Book,"$329,719,448","$85,080,171",25.8%,"$244,639,277",74.2%
31,32,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%
32,33,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%
33,34,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%
34,35,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%
35,36,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%
36,37,Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%
37,38,Crazy Rich Asians,"$238,532,921","$174,532,921",73.2%,"$64,000,000",26.8%
38,39,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%
39,40,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%
40,41,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%
41,42,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%
42,43,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%
43,44,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%
44,45,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%
45,46,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%
46,47,The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%
47,48,Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%
48,49,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%
49,50,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%
50,51,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%
51,52,How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%
52,53,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%
53,54,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%
54,55,Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%
55,56,A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%
56,57,Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%
57,58,Dragon Ball Super: Broly,"$115,560,610","$30,712,119",26.6%,"$84,848,491",73.4%
58,59,The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%
59,60,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%
60,61,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%
61,62,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%
62,63,Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%
63,64,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%
64,65,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%
65,66,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%
66,67,Blumhouse's Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%
67,68,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%
68,69,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
69,70,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
70,71,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
71,72,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
72,73,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
73,74,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
74,75,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
75,76,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
76,77,I Can Only Imagine,"$86,026,201","$83,482,352",97%,"$2,543,849",3%
77,78,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
78,79,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
79,80,Hereditary,"$80,239,658","$44,069,456",54.9%,"$36,170,202",45.1%
80,81,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
81,82,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
82,83,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
83,84,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
84,85,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
85,86,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
86,87,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
87,88,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
88,89,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
89,90,Shoplifters,"$67,998,954","$3,313,513",4.9%,"$64,685,441",95.1%
90,91,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
91,92,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
92,93,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
93,94,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
94,95,Capernaum,"$64,413,178","$1,661,096",2.6%,"$62,752,082",97.4%
95,96,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
96,97,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
97,98,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
98,99,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
99,100,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
100,101,Teen Titans GO! to the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
101,102,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
102,103,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
103,104,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%
104,105,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
105,106,Andhadhun,"$49,391,206","$1,193,046",2.4%,"$48,198,160",97.6%
106,107,Golden Job,"$47,279,677","$285,795",0.6%,"$46,993,882",99.4%
107,108,Mary Queen of Scots,"$46,710,283","$16,468,499",35.3%,"$30,241,784",64.7%
108,109,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
109,110,Tyler Perry's Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
110,111,Asterix: The Secret of the Magic Potion,"$46,209,803","$1,271,953",2.8%,"$44,937,850",97.2%
111,112,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
112,113,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
113,114,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
114,115,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
115,116,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
116,117,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
117,118,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
118,119,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
119,120,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
120,121,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
121,122,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
122,123,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
123,124,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
124,125,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
125,126,Mia and the White Lion,"$36,070,884","$399,471",1.1%,"$35,671,413",98.9%
126,127,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
127,128,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
128,129,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
129,130,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
130,131,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
131,132,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
132,133,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
133,134,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
134,135,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
135,136,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%
136,137,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
137,138,Default,"$27,709,716","$203,775",0.7%,"$27,505,941",99.3%
138,139,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
139,140,Mirai,"$27,526,961","$812,794",3%,"$26,714,167",97%
140,141,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
141,142,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
142,143,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
143,144,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
144,145,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
145,146,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
146,147,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
147,148,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
148,149,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
149,150,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
150,151,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
151,152,Won't You Be My Neighbor?,"$22,842,400","$22,835,787",100%,"$6,613",<0.1%
152,153,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
153,154,Big Brother,"$22,029,250","$85,624",0.4%,"$21,943,626",99.6%
154,155,Master Z: The Ip Man Legacy,"$21,832,649","$209,454",1%,"$21,623,195",99%
155,156,Proud Mary,"$21,753,365","$20,877,013",96%,"$876,352",4%
156,157,The Prodigy,"$21,150,265","$14,856,291",70.2%,"$6,293,974",29.8%
157,158,Gonjiam: Haunted Asylum,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%
158,159,My Hero Academia: Two Heroes,"$21,022,724","$5,754,556",27.4%,"$15,268,168",72.6%
159,160,SuperFly,"$20,780,685","$20,545,116",98.9%,"$235,569",1.1%
160,161,If Beale Street Could Talk,"$20,596,567","$14,915,773",72.4%,"$5,680,794",27.6%
161,162,Burn the Stage: The Movie,"$20,347,513","$4,201,819",20.7%,"$16,145,694",79.3%
162,163,Cold War 2018 Re-release,"$20,285,066","$4,580,048",22.6%,"$15,705,018",77.4%
163,164,The Wife,"$19,978,189","$9,601,092",48.1%,"$10,377,097",51.9%
164,165,Everybody Knows,"$19,176,163","$2,660,165",13.9%,"$16,515,998",86.1%
165,166,They Shall Not Grow Old 2018 Re-release,"$19,130,011","$17,956,913",93.9%,"$1,173,098",6.1%
166,167,Oolong Courtyard: KungFu School,"$19,129,015","$37,727",0.2%,"$19,091,288",99.8%
167,168,Detective K: Secret of the Living Dead,"$18,603,476","$104,013",0.6%,"$18,499,463",99.4%
168,169,Airpocalypse,"$18,491,089","$105,678",0.6%,"$18,385,411",99.4%
169,170,Chappaquiddick,"$18,263,470","$17,395,520",95.2%,"$867,950",4.8%
170,171,Sorry to Bother You,"$18,170,707","$17,493,096",96.3%,"$677,611",3.7%
171,172,Hell Fest,"$18,159,691","$11,107,431",61.2%,"$7,052,260",38.8%
172,173,The Old Man & the Gun,"$17,860,397","$11,277,120",63.1%,"$6,583,277",36.9%
173,174,The Children Act,"$17,696,794","$547,750",3.1%,"$17,149,044",96.9%
174,175,Operation Finale,"$17,612,099","$17,612,099",100%,-,-
175,176,Loving Pablo,"$17,535,962","$22,017",0.1%,"$17,513,945",99.9%
176,177,102 Not Out,"$16,758,596","$1,343,797",8%,"$15,414,799",92%
177,178,Beautiful Boy,"$16,636,604","$7,649,973",46%,"$8,986,631",54%
178,179,Upgrade,"$16,593,554","$11,977,130",72.2%,"$4,616,424",27.8%
179,180,Forever My Girl,"$16,376,066","$16,376,066",100%,-,-
180,181,Unfriended: Dark Web,"$16,024,987","$8,866,745",55.3%,"$7,158,242",44.7%
181,182,Finding Your Feet,"$15,845,593","$1,418,682",9%,"$14,426,911",91%
182,183,Feng Shui,"$15,702,302","$64,147",0.4%,"$15,638,155",99.6%
183,184,Tully,"$15,636,462","$9,369,755",59.9%,"$6,266,707",40.1%
184,185,The Negotiation,"$15,229,193","$110,986",0.7%,"$15,118,207",99.3%
185,186,RBG,"$14,441,292","$14,017,361",97.1%,"$423,931",2.9%
186,187,Eighth Grade,"$14,347,433","$13,539,709",94.4%,"$807,724",5.6%
187,188,Thugs of Hindostan,"$14,341,431","$1,449,848",10.1%,"$12,891,583",89.9%
188,189,Unsane,"$14,293,601","$7,732,899",54.1%,"$6,560,702",45.9%
189,190,Colette,"$14,273,033","$5,137,622",36%,"$9,135,411",64%
190,191,Ya veremos,"$14,134,723","$4,165,949",29.5%,"$9,968,774",70.5%
191,192,The Quake,"$13,747,547","$6,235",<0.1%,"$13,741,312",100%
192,193,Three Identical Strangers,"$13,448,497","$12,320,845",91.6%,"$1,127,652",8.4%
193,194,Hotel Artemis,"$13,313,581","$6,708,147",50.4%,"$6,605,434",49.6%
194,195,The Sisters Brothers,"$13,143,056","$3,143,056",23.9%,"$10,000,000",76.1%
195,196,Welcome to Marwen,"$13,061,491","$10,763,520",82.4%,"$2,297,971",17.6%
196,197,Take Point,"$12,908,032","$112,386",0.9%,"$12,795,646",99.1%
197,198,Luis and the Aliens,"$12,627,729","$169,710",1.3%,"$12,458,019",98.7%
198,199,Can You Ever Forgive Me?,"$12,442,161","$8,803,865",70.8%,"$3,638,296",29.2%
199,200,Rampant,"$12,359,573","$167,937",1.4%,"$12,191,636",98.6%
200,201,Tall Tales from the Magical Garden of Antoon Krings 2018 Re-release,"$12,353,849",$220,<0.1%,"$12,353,629",100%
201,202,Boy Erased,"$11,853,081","$6,788,692",57.3%,"$5,064,389",42.7%
202,203,Unstoppable,"$11,845,347","$101,417",0.9%,"$11,743,930",99.1%
203,204,Last Letter,"$11,834,622","$180,946",1.5%,"$11,653,676",98.5%
204,205,Ash Is Purest White,"$11,813,509","$422,814",3.6%,"$11,390,695",96.4%
205,206,Ballon,"$11,790,874","$25,505",0.2%,"$11,765,369",99.8%
206,207,Little Women,"$11,483,561","$1,379,497",12%,"$10,104,064",88%
207,208,King of Thieves,"$11,353,515","$7,518",<0.1%,"$11,345,997",99.9%
208,209,At Eternity's Gate,"$11,261,585","$2,294,915",20.4%,"$8,966,670",79.6%
209,210,La boda de Valentina,"$11,021,794","$2,783,739",25.3%,"$8,238,055",74.7%
210,211,Gringo,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%
211,212,2.0,"$10,847,903","$4,152,000",38.3%,"$6,695,903",61.7%
212,213,Golden Slumber,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%
213,214,Red Joan,"$10,647,493","$1,579,730",14.8%,"$9,067,763",85.2%
214,215,Every Day,"$10,421,847","$6,102,076",58.6%,"$4,319,771",41.4%
215,216,Swing Kids,"$10,397,408","$222,001",2.1%,"$10,175,407",97.9%
216,217,Lobster Cop,"$10,373,129","$85,693",0.8%,"$10,287,436",99.2%
217,218,Kin,"$10,313,019","$5,718,096",55.4%,"$4,594,923",44.6%
218,219,Girls vs Gangsters,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%
219,220,The Miracle Season,"$10,230,620","$10,230,620",100%,-,-
220,221,Ben Is Back,"$10,134,204","$3,703,184",36.5%,"$6,431,020",63.5%
221,222,Papillon,"$10,060,903","$2,335,896",23.2%,"$7,725,007",76.8%
222,223,The Princess and the Matchmaker,"$9,899,017","$78,900",0.8%,"$9,820,117",99.2%
223,224,Simmba,"$9,865,268","$5,102,129",51.7%,"$4,763,139",48.3%
224,225,Traffik,"$9,515,914","$9,186,156",96.5%,"$329,758",3.5%
225,226,Replicas,"$9,330,075","$4,046,429",43.4%,"$5,283,646",56.6%
226,227,Mid90s,"$9,303,022","$7,362,439",79.1%,"$1,940,583",20.9%
227,228,Champion,"$8,974,547","$97,472",1.1%,"$8,877,075",98.9%
228,229,7 Days in Entebbe,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%
229,230,Pope Francis: A Man of His Word,"$8,608,385","$2,008,385",23.3%,"$6,600,000",76.7%
230,231,A-X-L,"$8,467,697","$6,501,381",76.8%,"$1,966,316",23.2%
231,232,Disobedience,"$8,003,180","$3,498,782",43.7%,"$4,504,398",56.3%
232,233,Life Itself,"$7,997,774","$4,102,648",51.3%,"$3,895,126",48.7%
233,234,Suspiria,"$7,942,093","$2,483,472",31.3%,"$5,458,621",68.7%
234,235,Qué León,"$7,807,916","$2,607,916",33.4%,"$5,200,000",66.6%
235,236,Amazing Grace,"$7,797,395","$4,450,456",57.1%,"$3,346,939",42.9%
236,237,Leave No Trace,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%
237,238,Pandas,"$7,635,778","$7,574,012",99.2%,"$61,766",0.8%
238,239,Burning,"$7,566,962","$718,991",9.5%,"$6,847,971",90.5%
239,240,Beirut,"$7,509,436","$5,019,226",66.8%,"$2,490,210",33.2%
240,241,God's Not Dead: A Light in Darkness,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%
241,242,Return of the Hero,"$7,362,730","$37,108",0.5%,"$7,325,622",99.5%
242,243,In Safe Hands,"$7,086,596","$1,737",<0.1%,"$7,084,859",100%
243,244,Dog Days,"$6,819,044","$6,809,080",99.9%,"$9,964",0.1%
244,245,Race 3,"$6,817,391","$1,690,861",24.8%,"$5,126,530",75.2%
245,246,Fahrenheit 11/9,"$6,674,168","$6,352,306",95.2%,"$321,862",4.8%
246,247,Soorma,"$6,579,645","$390,077",5.9%,"$6,189,568",94.1%
247,248,Gotti,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%
248,249,Unbroken: Path to Redemption,"$6,216,897","$6,216,897",100%,-,-
249,250,Ploey,"$6,146,292","$77,815",1.3%,"$6,068,477",98.7%
250,251,Mobile Suit Gundam Narrative,"$6,126,259","$259,224",4.2%,"$5,867,035",95.8%
251,252,Death of a Nation,"$5,885,881","$5,885,881",100%,-,-
252,253,Incident in a Ghostland,"$5,643,957",-,-,"$5,643,957",100%
253,254,El Angel,"$5,604,680","$109,608",2%,"$5,495,072",98%
254,255,Destroyer,"$5,580,940","$1,533,324",27.5%,"$4,047,616",72.5%
255,256,A Wizard's Tale,"$5,487,261","$2,150",<0.1%,"$5,485,111",100%
256,257,Never Look Away,"$5,138,268","$1,304,042",25.4%,"$3,834,226",74.6%
257,258,Action Point,"$5,103,663","$5,059,608",99.1%,"$44,055",0.9%
258,259,Dogman,"$5,080,147","$148,225",2.9%,"$4,931,922",97.1%
259,260,Blindspotting,"$5,006,989","$4,333,394",86.5%,"$673,595",13.5%
260,261,Sgt. Stubby: An American Hero,"$4,932,694","$4,015,935",81.4%,"$916,759",18.6%
261,262,Samson,"$4,873,825","$4,719,928",96.8%,"$153,897",3.2%
262,263,Hamlet 2018 Re-release,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%
263,264,Bad Samaritan,"$4,623,836","$3,435,047",74.3%,"$1,188,789",25.7%
264,265,Whitney,"$4,605,123","$3,026,351",65.7%,"$1,578,772",34.3%
265,266,The Guilty,"$4,598,051","$207,140",4.5%,"$4,390,911",95.5%
266,267,"Juliet, Naked","$4,508,260","$3,444,895",76.4%,"$1,063,365",23.6%
267,268,Woman at War,"$4,471,158","$847,495",19%,"$3,623,663",81%
268,269,Storm Boy,"$4,252,706","$71,760",1.7%,"$4,180,946",98.3%
269,270,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705",34%,"$2,799,951",66%
270,271,Ghost Stories,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%
271,272,The Fall of the American Empire,"$4,110,928","$2,178,460",53%,"$1,932,468",47%
272,273,American Animals,"$4,080,073","$2,856,954",70%,"$1,223,119",30%
273,274,Penguin Highway,"$4,006,647","$104,567",2.6%,"$3,902,080",97.4%
274,275,A Private War,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%
275,276,First Reformed,"$3,862,498","$3,448,256",89.3%,"$414,242",10.7%
276,277,Custody,"$3,790,303","$83,882",2.2%,"$3,706,421",97.8%
277,278,Night of 7 Years,"$3,716,820","$24,281",0.7%,"$3,692,539",99.3%
278,279,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",100%,-,-
279,280,Non-Fiction,"$3,633,448","$704,919",19.4%,"$2,928,529",80.6%
280,281,Indivisible,"$3,589,633","$3,511,417",97.8%,"$78,216",2.2%
281,282,The Apparition,"$3,562,793","$28,293",0.8%,"$3,534,500",99.2%
282,283,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777",99.9%,"$2,346",<0.1%
283,284,The Metropolitan Opera HD Live: Puccini: Tosca,"$3,473,616","$2,023,749",58.3%,"$1,449,867",41.7%
284,285,Racetime,"$3,439,053","$1,875,283",54.5%,"$1,563,770",45.5%
285,286,The Rider,"$3,434,963","$2,419,031",70.4%,"$1,015,932",29.6%
286,287,Patrick the Pug,"$3,369,468","$6,290",0.2%,"$3,363,178",99.8%
287,288,On Chesil Beach,"$3,335,913","$745,971",22.4%,"$2,589,942",77.6%
288,289,Breath,"$3,322,479","$37,108",1.1%,"$3,285,371",98.9%
289,290,Wildlife,"$3,321,367","$1,050,616",31.6%,"$2,270,751",68.4%
290,291,The House That Jack Built,"$3,297,010","$170,113",5.2%,"$3,126,897",94.8%
291,292,Bharath Ane Nenu,"$3,276,257","$2,663,090",81.3%,"$613,167",18.7%
292,293,The Front Runner,"$3,242,235","$2,000,105",61.7%,"$1,242,130",38.3%
293,294,Thoroughbreds,"$3,187,255","$3,072,605",96.4%,"$114,650",3.6%
294,295,Tea With the Dames,"$3,181,152","$889,343",28%,"$2,291,809",72%
295,296,Made for More,"$2,999,134","$2,999,134",100%,-,-
296,297,Memoir of War,"$2,980,982","$103,636",3.5%,"$2,877,346",96.5%
297,298,God Bless the Broken Road,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%
298,299,Hold Your Breath,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%
299,300,McQueen,"$2,739,246","$1,257,275",45.9%,"$1,481,971",54.1%
300,301,Edie,"$2,730,619","$71,239",2.6%,"$2,659,380",97.4%
301,302,Billionaire Boys Club,"$2,713,955","$1,349",<0.1%,"$2,712,606",100%
302,303,The Happy Prince,"$2,621,992","$466,440",17.8%,"$2,155,552",82.2%
303,304,The Little Mermaid,"$2,610,742","$147,175",5.6%,"$2,463,567",94.4%
304,305,Zero,"$2,595,762","$1,035,388",39.9%,"$1,560,374",60.1%
305,306,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%
306,307,Assassination Nation,"$2,584,988","$2,005,142",77.6%,"$579,846",22.4%
307,308,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539",0.7%,"$2,551,388",99.3%
308,309,Birds of Passage,"$2,517,349","$507,259",20.2%,"$2,010,090",79.8%
309,310,Lean on Pete,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%
310,311,The Breadwinner 2018 Re-release,"$2,426,907",$834,<0.1%,"$2,426,073",100%
311,312,Hearts Beat Loud,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%
