,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2018,Get Him to the Greek,,,,,,,,"Jun 4, 2010"," $40,000,000",," $92,994,927"," $61,153,526",,,,Get Him to the Greek
2019,Get Out,False,"[Horror, Mystery, Thriller]",en,28.815,2017-02-24,7.5,10257.0,,,36.0,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%,Get Out
2020,Get Rich or Die Tryin',,,,,,,,"Nov 9, 2005"," $40,000,000",," $46,666,955"," $30,981,850",,,,Get Rich or Die Tryin'
2021,Get Shorty,,,,,,,,"Oct 20, 1995"," $30,250,000",," $115,021,008"," $72,021,008",,,,Get Shorty
2022,Get Smart,,,,,,,,"Jun 20, 2008"," $80,000,000",," $226,739,416"," $130,319,208",,,,Get Smart
2023,Getting Grace,,,,,,,,,,542.0,"$217,812","$217,812",100%,-,-,Getting Grace
2024,Getting Straight,False,"[Comedy, Drama]",en,3.161,1970-05-13,6.1,8.0,,,,,,,,,Getting Straight
2025,Ghost,False,"[Drama, Fantasy, Mystery, Thriller, Romance]",en,13.647,1990-07-12,7.1,3204.0,,,,,,,,,Ghost
2026,Ghost Dog: The Way of the Samurai,False,"[Crime, Drama]",en,11.633,1999-06-02,7.3,619.0,,,,,,,,,Ghost Dog: The Way of the Samurai
2027,Ghost Fleet,,,,,,,,,,640.0,"$7,850","$7,850",100%,-,-,Ghost Fleet
2028,Ghost House,,,,,,,,,,363.0,"$1,004,155",-,-,"$1,004,155",100%,Ghost House
2029,Ghost Rider,,,,,,,,"Feb 16, 2007"," $120,000,000",," $229,545,589"," $115,802,596",,,,Ghost Rider
2030,Ghost Rider: Spirit of Vengeance,,,,,,,,"Feb 17, 2012"," $57,000,000",," $149,217,355"," $51,774,002",,,,Ghost Rider: Spirit of Vengeance
2031,Ghost Stories,,,,,,,,,,271.0,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%,Ghost Stories
2032,Ghost Team,,,,,,,,,,718.0,"$6,639","$6,639",100%,-,-,Ghost Team
2033,Ghost in the Shell,False,"[Action, Animation, Science Fiction]",ja,14.947000000000001,1995-11-18,7.9,1666.0,"Mar 23, 2017"," $110,000,000",55.0,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%,Ghost in the Shell
2034,Ghost in the Shell 2.0,False,"[Action, Animation, Science Fiction]",ja,10.357999999999999,2008-07-12,7.5,204.0,,,,,,,,,Ghost in the Shell 2.0
2035,Ghost in the Shell 2: Innocence,False,"[Animation, Drama, Science Fiction]",ja,14.689,2004-03-06,7.4,430.0,,,,,,,,,Ghost in the Shell 2: Innocence
2036,Ghost in the Shell: The New Movie,,,,,,,,,,337.0,"$1,332,311","$101,203",7.6%,"$1,231,108",92.4%,Ghost in the Shell: The New Movie
2037,Ghostbusters,False,"[Comedy, Fantasy]",en,16.515,1984-06-08,7.4,5282.0,"Jul 13, 2016"," $144,000,000",39.0,"$229,147,509","$128,350,574",56%,"$100,796,935",44%,Ghostbusters
2039,Ghostbusters 2019 Re-release,,,,,,,,,,358.0,"$369,612","$369,612",100%,-,-,Ghostbusters 2019 Re-release
2040,Ghostbusters II,False,"[Comedy, Fantasy]",en,13.991,1989-06-16,6.4,2435.0,,,,,,,,,Ghostbusters II
2041,Ghosts of Mississippi,,,,,,,,"Dec 20, 1996"," $36,000,000",," $13,052,741"," $13,052,741",,,,Ghosts of Mississippi
2042,Giant,False,"[Action, Drama, Western, Romance]",en,10.452,1956-10-10,7.6,346.0,,,,,,,,,Giant
2043,Giant Little Ones,,,,,,,,,,441.0,"$181,507","$181,507",100%,-,-,Giant Little Ones
2044,Gift,,,,,,,,,,568.0,"$31,588","$31,588",100%,-,-,Gift
2045,Gifted,False,"[Comedy, Drama, Family]",en,14.955,2017-04-12,7.9,2368.0,,,116.0,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%,Gifted
2046,Gifted Hands: The Ben Carson Story,False,[Drama],en,8.199,2009-02-07,7.6,221.0,,,,,,,,,Gifted Hands: The Ben Carson Story
2047,Gigli,,,,,,,,"Aug 1, 2003"," $54,000,000",," $7,126,002"," $6,087,542",,,,Gigli
2048,Gilbert,,,,,,,,,,704.0,"$8,362","$8,362",100%,-,-,Gilbert
2049,Gilda,False,[Thriller],en,8.115,1946-04-25,7.7,258.0,,,,,,,,,Gilda
2050,Gimme Danger,,,,,,,,,,362.0,"$950,040","$440,627",46.4%,"$509,413",53.6%,Gimme Danger
2051,Girl,False,[Drama],nl,6.841,2018-09-27,7.4,320.0,,,,,,,,,Girl
2052,Girl Asleep,,,,,,,,,,535.0,"$64,056","$60,289",94.1%,"$3,767",5.9%,Girl Asleep
2053,"Girl, Interrupted",False,[Drama],en,11.145999999999999,1999-12-21,7.6,1965.0,,,,,,,,,"Girl, Interrupted"
2054,Girls Trip,,,,,,,,,,62.0,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%,Girls Trip
2055,Girls of the Sun,,,,,,,,,,566.0,"$168,771","$19,712",11.7%,"$149,059",88.3%,Girls of the Sun
2056,Girls vs Gangsters,,,,,,,,,,219.0,"$10,265,819","$37,115",0.4%,"$10,228,704",99.6%,Girls vs Gangsters
2057,Give Me Liberty,,,,,,,,,,317.0,"$624,152","$242,734",38.9%,"$381,418",61.1%,Give Me Liberty
2058,Gladiator,False,"[Action, Adventure, Drama]",en,25.58,2000-05-01,8.1,10998.0,"May 5, 2000"," $103,000,000",," $457,683,805"," $187,683,805",,,,Gladiator
2059,Glass,,,,,,,,,,33.0,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,Glass
2060,Gleason,,,,,,,,,,386.0,"$583,664","$583,664",100%,-,-,Gleason
2061,Glengarry Glen Ross,False,"[Crime, Drama, Mystery]",en,12.040999999999999,1992-09-15,7.5,614.0,,,,,,,,,Glengarry Glen Ross
2062,Gloria,,,,,,,,,,627.0,"$14,701","$14,701",100%,-,-,Gloria
2063,Gloria Bell,,,,,,,,,,162.0,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%,Gloria Bell
2064,Glory,False,"[History, War]",en,12.425,1989-12-15,7.5,719.0,,,518.0,"$87,728","$18,415",21%,"$69,313",79%,Glory
2065,Glory 2019 Re-release,,,,,,,,,,459.0,"$150,801","$150,801",100%,-,-,Glory 2019 Re-release
2066,Glory Road,False,"[Drama, History]",en,9.292,2006-01-13,7.3,341.0,,,,,,,,,Glory Road
2067,Gnomeo and Juliet,,,,,,,,"Feb 11, 2011"," $36,000,000",," $193,737,977"," $99,967,670",,,,Gnomeo and Juliet
2068,Go Away Mr Tumour,,,,,,,,,,86.0,"$80,606,893","$286,639",0.4%,"$80,320,254",99.6%,Go Away Mr Tumour
2069,Goal! The Dream Begins,,,,,,,,"May 12, 2006"," $33,000,000",," $27,610,873"," $4,283,255",,,,Goal! The Dream Begins
2070,Goat,,,,,,,,,,614.0,"$23,020","$23,020",100%,-,-,Goat
2071,God Bless the Broken Road,,,,,,,,,,298.0,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%,God Bless the Broken Road
2072,God Knows Where I Am,,,,,,,,,,626.0,"$21,135","$21,135",100%,-,-,God Knows Where I Am
2073,God of War,,,,,,,,,,202.0,"$9,559,524","$53,000",0.6%,"$9,506,524",99.4%,God of War
2074,God's Not Dead 2,,,,,,,,,,155.0,"$24,487,848","$20,774,575",84.8%,"$3,713,273",15.2%,God's Not Dead 2
2075,God's Not Dead: A Light in Darkness,,,,,,,,,,241.0,"$7,414,178","$5,728,940",77.3%,"$1,685,238",22.7%,God's Not Dead: A Light in Darkness
2076,God's Own Country,False,"[Drama, Romance]",en,9.218,2017-09-01,7.8,395.0,,,303.0,"$2,559,939","$335,609",13.1%,"$2,224,330",86.9%,God's Own Country
2077,Godard Mon Amour,,,,,,,,,,346.0,"$1,329,016","$82,264",6.2%,"$1,246,752",93.8%,Godard Mon Amour
2078,Gods and Generals,,,,,,,,"Feb 21, 2003"," $55,000,000",," $12,923,936"," $12,882,934",,,,Gods and Generals
2079,Gods of Egypt,,,,,,,,"Feb 24, 2016"," $140,000,000",49.0,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%,Gods of Egypt
2080,Godspeed: The Race Across America,,,,,,,,,,634.0,"$96,690","$96,690",100%,-,-,Godspeed: The Race Across America
2081,Godzilla,False,"[Science Fiction, Action, Thriller]",en,13.375,1998-05-20,5.5,2233.0,"May 14, 2014"," $160,000,000",," $529,076,069"," $200,676,069",,,,Godzilla
2087,Godzilla: King of the Monsters,False,"[Science Fiction, Action]",en,32.921,2019-05-29,6.2,2108.0,"May 29, 2019"," $170,000,000",22.0,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%,Godzilla: King of the Monsters
2088,Going in Style,,,,,,,,,,80.0,"$84,918,541","$45,018,541",53%,"$39,900,000",47%,Going in Style
2089,Going the Distance,,,,,,,,"Sep 3, 2010"," $32,000,000",," $43,603,990"," $17,804,299",,,,Going the Distance
2090,Gold,,,,,,,,,,175.0,"$14,880,939","$7,227,038",48.6%,"$7,653,901",51.4%,Gold
2092,Goldbuster,,,,,,,,,,97.0,"$57,628,292","$186,135",0.3%,"$57,442,157",99.7%,Goldbuster
2093,Golden Exits,,,,,,,,,,709.0,"$41,888","$41,888",100%,-,-,Golden Exits
2094,Golden Job,,,,,,,,,,107.0,"$47,279,677","$285,795",0.6%,"$46,993,882",99.4%,Golden Job
2095,Golden Kingdom,,,,,,,,,,705.0,"$8,077","$8,077",100%,-,-,Golden Kingdom
2096,Golden Slumber,,,,,,,,,,213.0,"$10,733,326","$94,450",0.9%,"$10,638,876",99.1%,Golden Slumber
2097,GoldenEye,False,"[Adventure, Action, Thriller]",en,27.558000000000003,1995-11-16,6.8,2217.0,,,,,,,,,GoldenEye
2098,Goldeneye,,,,,,,,"Nov 17, 1995"," $60,000,000",," $356,429,941"," $106,429,941",,,,Goldeneye
2099,Goldfinger,False,"[Action, Adventure, Thriller]",en,19.545,1964-09-20,7.4,1954.0,,,,,,,,,Goldfinger
2100,Goldstone 2018 Re-release,,,,,,,,,,643.0,"$87,639","$87,639",100%,-,-,Goldstone 2018 Re-release
2101,Golmaal Again,,,,,,,,,,319.0,"$2,057,329","$1,013,893",49.3%,"$1,043,436",50.7%,Golmaal Again
2102,Gone Baby Gone,False,"[Crime, Drama, Mystery]",en,11.527999999999999,2007-09-18,7.3,2176.0,,,,,,,,,Gone Baby Gone
2103,Gone Doggy Gone,,,,,,,,,,630.0,"$14,354","$14,354",100%,-,-,Gone Doggy Gone
2104,Gone Girl,False,"[Drama, Mystery, Thriller]",en,35.028,2014-10-01,7.9,11829.0,"Oct 3, 2014"," $61,000,000",," $368,567,189"," $167,767,189",,,,Gone Girl
2105,Gone in 60 Seconds,,,,,,,,"Jun 9, 2000"," $103,300,000",," $232,643,008"," $101,643,008",,,,Gone in 60 Seconds
2106,Gone in Sixty Seconds,False,"[Action, Crime, Thriller]",en,15.599,2000-06-09,6.3,2635.0,,,,,,,,,Gone in Sixty Seconds
2107,Gone with the Wind,False,"[Drama, Romance, War]",en,18.795,1939-12-15,7.9,2053.0,,,,,,,,,Gone with the Wind
2108,Gone with the Wind 2019 Re-release,,,,,,,,,,245.0,"$2,176,120","$2,176,120",100%,-,-,Gone with the Wind 2019 Re-release
2109,Gonjiam: Haunted Asylum,,,,,,,,,,158.0,"$21,041,950","$115,252",0.5%,"$20,926,698",99.5%,Gonjiam: Haunted Asylum
2110,Good Boys,,,,,,,,,,67.0,"$110,940,306","$83,140,306",74.9%,"$27,800,000",25.1%,Good Boys
2111,Good Kids,,,,,,,,,,612.0,"$23,627",-,-,"$23,627",100%,Good Kids
2112,Good Kill,,,,,,,,,,330.0,"$1,474,471","$316,472",21.5%,"$1,157,999",78.5%,Good Kill
2113,Good Manners,,,,,,,,,,729.0,"$35,714","$31,177",87.3%,"$4,537",12.7%,Good Manners
2114,"Good Morning, Vietnam",False,"[Comedy, Drama, War]",en,9.02,1987-12-23,7.3,1406.0,,,,,,,,,"Good Morning, Vietnam"
2115,Good Time,,,,,,,,,,287.0,"$3,283,369","$2,026,499",61.7%,"$1,256,870",38.3%,Good Time
2116,Good Will Hunting,False,[Drama],en,13.78,1997-12-05,8.1,6817.0,,,,,,,,,Good Will Hunting
2117,"Good bye, Lenin!",False,"[Comedy, Drama]",de,9.424,2003-02-09,7.5,1265.0,,,,,,,,,"Good bye, Lenin!"
2118,GoodFellas,False,"[Drama, Crime]",en,24.381,1990-09-12,8.4,6735.0,,,,,,,,,GoodFellas
2119,Goodbye Christopher Robin,,,,,,,,,,224.0,"$7,401,949","$1,735,251",23.4%,"$5,666,698",76.6%,Goodbye Christopher Robin
2120,Goodbye Mr. Loser,,,,,,,,,,35.0,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%,Goodbye Mr. Loser
2121,Goodland,,,,,,,,,,736.0,"$32,140","$32,140",100%,-,-,Goodland
2122,Goodnight Mommy,,,,,,,,,,311.0,"$2,193,474","$1,178,196",53.7%,"$1,015,278",46.3%,Goodnight Mommy
2123,Gook,,,,,,,,,,452.0,"$251,541","$250,130",99.4%,"$1,411",0.6%,Gook
2124,Goosebumps,,,,,,,,"Oct 14, 2015"," $58,000,000",46.0,"$158,260,952","$80,080,379",50.6%,"$78,180,573",49.4%,Goosebumps
2125,Goosebumps 2: Haunted Halloween,,,,,,,,"Oct 10, 2018"," $35,000,000",71.0,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,Goosebumps 2: Haunted Halloween
2126,Gosanja: Dae-dong-yeo Ji-do,,,,,,,,,,238.0,"$7,035,812","$34,034",0.5%,"$7,001,778",99.5%,Gosanja: Dae-dong-yeo Ji-do
2127,Gosnell: The Trial of America's Biggest Serial Killer,,,,,,,,,,279.0,"$3,679,893","$3,679,893",100%,-,-,Gosnell: The Trial of America's Biggest Serial Killer
2128,Gothika,,,,,,,,"Nov 21, 2003"," $40,000,000",," $141,484,812"," $59,588,068",,,,Gothika
2129,Gotti,,,,,,,,,,248.0,"$6,412,349","$4,343,227",67.7%,"$2,069,122",32.3%,Gotti
2130,Grace Jones: Bloodlight and Bami,,,,,,,,,,394.0,"$632,394","$375,208",59.3%,"$257,186",40.7%,Grace Jones: Bloodlight and Bami
2131,Graduation,,,,,,,,,,312.0,"$2,015,002","$175,975",8.7%,"$1,839,027",91.3%,Graduation
2132,Gran Torino,False,[Drama],en,14.689,2008-12-09,8.0,6599.0,,,,,,,,,Gran Torino
2133,Grand Canyon: The Hidden Secrets,False,[Documentary],en,0.63,1984-06-16,6.0,1.0,,,,,,,,,Grand Canyon: The Hidden Secrets
2134,Grand Illusion,False,"[Drama, History, War]",fr,11.847000000000001,1937-06-04,7.8,300.0,,,,,,,,,Grand Illusion
2135,Grandma,,,,,,,,,,237.0,"$7,205,073","$6,980,524",96.9%,"$224,549",3.1%,Grandma
2136,Grass,,,,,,,,,,693.0,"$53,503","$8,084",15.1%,"$45,419",84.9%,Grass
2137,Grateful Dead Meet-Up 2019,,,,,,,,,,332.0,"$537,153","$537,153",100%,-,-,Grateful Dead Meet-Up 2019
2138,Grave of the Fireflies,False,"[Animation, Drama, War]",ja,0.6,1988-04-16,8.4,2449.0,,,439.0,"$516,962","$516,962",100%,-,-,Grave of the Fireflies
2139,Gravity,False,"[Drama, Science Fiction, Thriller]",en,16.315,2013-10-03,7.2,10670.0,"Oct 3, 2013"," $110,000,000",," $693,698,673"," $274,092,705",,,,Gravity
2140,Gray Matter,,,,,,,,,,719.0,"$38,034","$38,034",100%,-,-,Gray Matter
2141,Grease,False,[Romance],en,22.971,1978-07-07,7.4,4431.0,,,,,,,,,Grease
2142,Grease 2018 Re-release,,,,,,,,,,342.0,"$1,710,727","$1,213,413",70.9%,"$497,314",29.1%,Grease 2018 Re-release
2143,Greater,,,,,,,,,,314.0,"$2,000,093","$2,000,093",100%,-,-,Greater
2144,Green Book,False,"[Comedy, Drama]",en,21.881,2018-11-16,8.3,5486.0,,,31.0,"$329,719,448","$85,080,171",25.8%,"$244,639,277",74.2%,Green Book
2145,Green Lantern,,,,,,,,"Jun 17, 2011"," $200,000,000",," $219,535,492"," $116,601,172",,,,Green Lantern
2146,Green Room,,,,,,,,,,286.0,"$3,769,214","$3,220,371",85.4%,"$548,843",14.6%,Green Room
2147,Green Zone,,,,,,,,"Mar 12, 2010"," $100,000,000",," $97,523,020"," $35,497,337",,,,Green Zone
2148,Green is Gold,,,,,,,,,,761.0,$455,$455,100%,-,-,Green is Gold
2149,Greener Grass,,,,,,,,,,525.0,"$71,838","$51,456",71.6%,"$20,382",28.4%,Greener Grass
2150,Gregory's Girl,,,,,,,,,,642.0,"$7,710","$7,710",100%,-,-,Gregory's Girl
2151,Gremlins,False,"[Fantasy, Horror, Comedy]",en,15.637,1984-06-07,7.1,3817.0,,,,,,,,,Gremlins
2152,Gremlins 2: The New Batch,,,,,,,,"Jun 15, 1990"," $50,000,000",," $41,476,097"," $41,476,097",,,,Gremlins 2: The New Batch
2153,Greta,,,,,,,,,,139.0,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%,Greta
2154,Grey Gardens,,,,,,,,,,566.0,"$36,923","$36,923",100%,-,-,Grey Gardens
2155,"Greystoke: The Legend of Tarzan, Lord of the Apes",False,"[Action, Adventure, Drama, Romance]",en,12.04,1984-03-30,6.2,236.0,,,,,,,,,"Greystoke: The Legend of Tarzan, Lord of the Apes"
2156,Grindhouse,,,,,,,,"Apr 6, 2007"," $53,000,000",," $50,187,789"," $25,031,037",,,,Grindhouse
2157,Gringo,,,,,,,,,,211.0,"$11,001,627","$4,969,853",45.2%,"$6,031,774",54.8%,Gringo
2158,Groundhog Day,False,"[Comedy, Drama, Fantasy, Romance]",en,14.469000000000001,1993-02-11,7.5,4546.0,,,,,,,,,Groundhog Day
2159,Growing Up Smith,,,,,,,,,,575.0,"$35,312","$35,312",100%,-,-,Growing Up Smith
2160,Grown Ups,,,,,,,,"Jun 25, 2010"," $75,000,000",," $272,223,430"," $162,001,186",,,,Grown Ups
2161,Grown Ups 2,,,,,,,,"Jul 12, 2013"," $80,000,000",," $247,023,808"," $133,668,525",,,,Grown Ups 2
2162,Grudge Match,,,,,,,,"Dec 25, 2013"," $40,000,000",," $69,817,991"," $29,817,991",,,,Grudge Match
2163,Guardians of the Galaxy,False,"[Action, Adventure, Science Fiction]",en,45.778999999999996,2014-07-30,7.9,19823.0,"Jul 31, 2014"," $170,000,000",," $772,772,112"," $333,172,112",,,,Guardians of the Galaxy
2164,Guardians of the Galaxy Vol 2,,,,,,,,"Apr 28, 2017"," $200,000,000",," $869,113,101"," $389,813,101",,,,Guardians of the Galaxy Vol 2
2165,Guardians of the Galaxy Vol. 2,False,"[Action, Adventure, Comedy, Science Fiction]",en,32.86,2017-04-19,7.6,14125.0,,,8.0,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,Guardians of the Galaxy Vol. 2
2166,Guess Who,,,,,,,,"Mar 25, 2005"," $35,000,000",," $102,115,888"," $68,915,888",,,,Guess Who
2167,Guess Who's Coming to Dinner,False,"[Comedy, Drama, Romance]",en,11.185,1967-12-11,7.7,384.0,,,,,,,,,Guess Who's Coming to Dinner
2168,Guidance,,,,,,,,,,690.0,"$4,900","$4,900",100%,-,-,Guidance
2169,Gulliver's Travels,,,,,,,,"Dec 24, 2010"," $112,000,000",," $232,017,848"," $42,779,261",,,,Gulliver's Travels
2170,Gully Boy,,,,,,,,,,124.0,"$28,141,995","$5,566,534",19.8%,"$22,575,461",80.2%,Gully Boy
2171,Gurukulam,,,,,,,,,,601.0,"$25,651","$25,651",100%,-,-,Gurukulam
2172,Guy,,,,,,,,,,366.0,"$1,257,937","$1,319",0.1%,"$1,256,618",99.9%,Guy
2173,Güeros,,,,,,,,,,513.0,"$86,736","$60,114",69.3%,"$26,622",30.7%,Güeros
2174,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,,,,,,,,,,408.0,"$707,875","$707,875",100%,-,-,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II
2175,Hachi: A Dog's Tale,False,"[Drama, Family]",en,14.610999999999999,2009-06-13,8.0,4085.0,,,,,,,,,Hachi: A Dog's Tale
2176,Hacker,,,,,,,,,,684.0,"$11,239","$11,239",100%,-,-,Hacker
2177,Hacksaw Ridge,False,"[Drama, History, War]",en,18.636,2016-10-07,8.1,7493.0,"Nov 3, 2016"," $40,000,000",50.0,"$180,450,918","$67,209,615",37.2%,"$113,241,303",62.8%,Hacksaw Ridge
2178,Hagazussa,,,,,,,,,,767.0,"$21,487","$13,253",61.7%,"$8,234",38.3%,Hagazussa
2179,Haikara-San: Here Comes Miss Modern,,,,,,,,,,796.0,"$16,572","$16,572",100%,-,-,Haikara-San: Here Comes Miss Modern
2180,Hail Satan?,,,,,,,,,,346.0,"$467,232","$424,284",90.8%,"$42,948",9.2%,Hail Satan?
2181,"Hail, Caesar!",,,,,,,,,,102.0,"$63,647,656","$30,498,085",47.9%,"$33,149,571",52.1%,"Hail, Caesar!"
2182,Hair,False,"[Drama, Music]",en,6.905,1979-03-14,7.4,338.0,,,,,,,,,Hair
2183,Hairspray,,,,,,,,"Jul 20, 2007"," $75,000,000",," $203,035,572"," $118,871,849",,,,Hairspray
2184,Hal,,,,,,,,,,700.0,"$49,045","$48,698",99.3%,$347,0.7%,Hal
2185,"Hale County This Morning, This Evening",,,,,,,,,,619.0,"$112,282","$112,282",100%,-,-,"Hale County This Morning, This Evening"
2186,Half Brothers,,,,,,,,,,895.0,"$1,100","$1,100",100%,-,-,Half Brothers
2187,Half Girlfriend,,,,,,,,,,450.0,"$261,597",-,-,"$261,597",100%,Half Girlfriend
2188,Half the Picture,,,,,,,,,,766.0,"$21,589","$21,589",100%,-,-,Half the Picture
2189,Hall Pass,,,,,,,,"Feb 25, 2011"," $68,000,000",," $87,173,475"," $45,060,734",,,,Hall Pass
2190,Halloween,False,"[Horror, Thriller]",en,14.795,1978-10-24,7.5,2787.0,,,37.0,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%,Halloween
2191,Halston,,,,,,,,,,454.0,"$163,446","$151,991",93%,"$11,455",7%,Halston
2192,Hamari Adhuri Kahani,,,,,,,,,,404.0,"$498,774","$235,361",47.2%,"$263,413",52.8%,Hamari Adhuri Kahani
2193,Hamlet,False,[Drama],en,9.664,1996-12-25,7.5,254.0,,,,,,,,,Hamlet
2194,Hamlet 2018 Re-release,,,,,,,,,,263.0,"$4,630,718","$235,229",5.1%,"$4,395,489",94.9%,Hamlet 2018 Re-release
2195,Hamlet 2019 Re-release,,,,,,,,,,423.0,"$214,578","$214,578",100%,-,-,Hamlet 2019 Re-release
2196,Hampstead,,,,,,,,,,233.0,"$6,335,171","$144,396",2.3%,"$6,190,775",97.7%,Hampstead
2197,Hancock,False,"[Action, Fantasy]",en,15.946,2008-07-01,6.3,6112.0,"Jul 1, 2008"," $150,000,000",," $624,234,272"," $227,946,274",,,,Hancock
2198,Hands of Stone,,,,,,,,,,264.0,"$4,978,353","$4,712,792",94.7%,"$265,561",5.3%,Hands of Stone
2199,Hanging Up,,,,,,,,"Feb 18, 2000"," $40,000,000",," $51,867,723"," $36,037,909",,,,Hanging Up
2200,Hannah,,,,,,,,,,583.0,"$146,325","$11,700",8%,"$134,625",92%,Hannah
2201,Hannah and Her Sisters,False,"[Comedy, Drama]",en,10.15,1986-02-07,7.6,518.0,,,,,,,,,Hannah and Her Sisters
2202,Hannah: Buddhism's Untold Journey,,,,,,,,,,636.0,"$19,526",$396,2%,"$19,130",98%,Hannah: Buddhism's Untold Journey
2203,Hannibal,False,"[Crime, Drama, Horror, Thriller]",en,3.3539999999999996,2001-02-08,6.6,2617.0,"Feb 9, 2001"," $87,000,000",," $350,100,280"," $165,092,266",,,,Hannibal
2204,Hannibal Rising,,,,,,,,"Feb 9, 2007"," $50,000,000",," $80,583,311"," $27,669,725",,,,Hannibal Rising
2205,Hannibal the Conqueror,,,,,,,,Unknown," $50,000,000",, $0, $0,,,,Hannibal the Conqueror
2206,Hansel & Gretel: Witch Hunters,,,,,,,,"Jan 25, 2013"," $50,000,000",," $214,949,716"," $55,703,475",,,,Hansel & Gretel: Witch Hunters
2207,Happily N'Ever After,,,,,,,,"Jan 5, 2007"," $47,000,000",," $37,923,818"," $15,849,032",,,,Happily N'Ever After
2208,Happiness,False,"[Comedy, Drama]",en,9.499,1998-10-16,7.5,395.0,,,,,,,,,Happiness
2209,Happy Bhaag Jayegi 2016 Re-release,,,,,,,,,,400.0,"$426,345","$351,840",82.5%,"$74,505",17.5%,Happy Bhaag Jayegi 2016 Re-release
2210,Happy Death Day,,,,,,,,,,65.0,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%,Happy Death Day
2211,Happy Death Day 2U,,,,,,,,,,89.0,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%,Happy Death Day 2U
2212,Happy End,,,,,,,,,,299.0,"$2,610,794","$301,718",11.6%,"$2,309,076",88.4%,Happy End
2213,Happy Feet,False,"[Animation, Comedy, Family]",en,12.845,2006-11-16,6.0,3196.0,"Nov 17, 2006"," $85,000,000",," $385,000,317"," $198,000,317",,,,Happy Feet
2214,Happy Feet Two,,,,,,,,"Nov 18, 2011"," $135,000,000",," $157,956,466"," $64,006,466",,,,Happy Feet Two
2215,Happy Phirr Bhag Jayegi,,,,,,,,,,460.0,"$417,669","$103,385",24.8%,"$314,284",75.2%,Happy Phirr Bhag Jayegi
2216,Happy Together,False,"[Drama, Romance]",zh,11.009,1997-05-17,7.7,219.0,,,,,,,,,Happy Together
2217,Happy as Lazzaro,False,[Drama],it,8.448,2018-05-31,7.5,259.0,,,,,,,,,Happy as Lazzaro
2218,Harakiri,False,"[Action, Drama, History]",ja,12.599,1962-09-15,8.3,314.0,,,,,,,,,Harakiri
2219,Hard Boiled,False,"[Action, Crime, Thriller]",cn,11.577,1992-04-16,7.6,344.0,,,,,,,,,Hard Boiled
2220,Hard Rain,,,,,,,,"Jan 16, 1998"," $70,000,000",," $19,870,567"," $19,870,567",,,,Hard Rain
2221,Hardcore Henry,,,,,,,,,,182.0,"$16,810,562","$9,252,038",55%,"$7,558,524",45%,Hardcore Henry
2222,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",,,,,,,,,,493.0,"$133,006","$133,006",100%,-,-,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It"
2223,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It 2017 Re-release",,,,,,,,,,591.0,"$30,380","$19,278",63.5%,"$11,102",36.5%,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It 2017 Re-release"
2224,Harmonium,,,,,,,,,,487.0,"$153,283","$17,191",11.2%,"$136,092",88.8%,Harmonium
2225,Harmony,,,,,,,,,,418.0,"$430,568","$23,248",5.4%,"$407,320",94.6%,Harmony
2226,Harold and Lillian: A Hollywood Love Story,,,,,,,,,,523.0,"$78,301","$78,301",100%,-,-,Harold and Lillian: A Hollywood Love Story
2227,Harold and Maude,False,"[Comedy, Drama, Romance]",en,12.214,1971-12-20,7.7,537.0,,,,,,,,,Harold and Maude
2228,Harriet,,,,,,,,,,107.0,"$43,282,155","$43,082,155",99.5%,"$200,000",0.5%,Harriet
2229,Harry & Snowman,,,,,,,,,,387.0,"$578,820","$561,460",97%,"$17,360",3%,Harry & Snowman
2230,Harry Benson: Shoot First,,,,,,,,,,646.0,"$18,092","$18,092",100%,-,-,Harry Benson: Shoot First
2231,Harry Potter IMAX Marathon,,,,,,,,,,321.0,"$1,784,557","$1,729,226",96.9%,"$55,331",3.1%,Harry Potter IMAX Marathon
