,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2850,Knock Knock,,,,,,,,,,252.0,"$5,567,103","$36,336",0.7%,"$5,530,767",99.3%,Knock Knock
2851,Knock Off,,,,,,,,"Sep 4, 1998"," $35,000,000",," $10,319,915"," $10,319,915",,,,Knock Off
2852,Knockin' on Heaven's Door,False,"[Comedy, Crime]",de,10.244000000000002,1997-02-20,7.7,241.0,,,,,,,,,Knockin' on Heaven's Door
2853,Know How,,,,,,,,,,704.0,"$3,323","$3,323",100%,-,-,Know How
2854,Knowing,,,,,,,,"Mar 20, 2009"," $50,000,000",," $186,450,317"," $79,957,634",,,,Knowing
2855,Kong: Skull Island,False,"[Action, Adventure, Fantasy]",en,24.229,2017-03-08,6.4,6757.0,"Feb 23, 2017"," $185,000,000",17.0,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%,Kong: Skull Island
2856,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,,,,,,,,,,199.0,"$5,078,942","$1,134,786",22.3%,"$3,944,156",77.7%,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson
2857,Kramer vs. Kramer,False,[Drama],en,11.478,1979-12-18,7.5,1163.0,,,,,,,,,Kramer vs. Kramer
2858,Krampus,,,,,,,,,,104.0,"$61,548,707","$42,725,475",69.4%,"$18,823,232",30.6%,Krampus
2859,Krisha,,,,,,,,,,468.0,"$144,822","$144,822",100%,-,-,Krisha
2860,Krull 2018 Re-release,,,,,,,,,,468.0,"$397,157","$397,157",100%,-,-,Krull 2018 Re-release
2861,Krystal,,,,,,,,,,721.0,"$37,516","$37,516",100%,-,-,Krystal
2862,Ktown Cowboys,,,,,,,,,,640.0,"$18,863","$18,863",100%,-,-,Ktown Cowboys
2863,Kubo and the Two Strings,False,"[Adventure, Animation, Family]",en,20.35,2016-08-18,7.7,2323.0,"Aug 18, 2016"," $55,000,000",94.0,"$76,249,438","$48,023,088",63%,"$28,226,350",37%,Kubo and the Two Strings
2864,"Kumiko, the Treasure Hunter",,,,,,,,,,380.0,"$739,623","$623,383",84.3%,"$116,240",15.7%,"Kumiko, the Treasure Hunter"
2865,Kung Fu Panda,False,"[Adventure, Animation, Comedy, Family]",en,17.164,2008-06-04,7.1,6901.0,"Jun 6, 2008"," $130,000,000",," $631,910,531"," $215,434,591",,,,Kung Fu Panda
2866,Kung Fu Panda 2,False,"[Animation, Family]",en,15.860999999999999,2011-05-25,6.8,4129.0,"May 26, 2011"," $150,000,000",," $664,837,547"," $165,249,063",,,,Kung Fu Panda 2
2867,Kung Fu Panda 3,False,"[Action, Adventure, Animation, Comedy, Family]",en,18.877,2016-01-23,6.7,3270.0,"Jan 23, 2016"," $140,000,000",16.0,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%,Kung Fu Panda 3
2868,Kung Fu Yoga,,,,,,,,,,35.0,"$257,743,016","$362,657",0.1%,"$257,380,359",99.9%,Kung Fu Yoga
2869,Kung Fury,False,"[Action, Comedy, Fantasy, Science Fiction]",en,9.357999999999999,2015-05-22,7.5,1263.0,,,,,,,,,Kung Fury
2870,Kursk,,,,,,,,"Nov 9, 2018"," $40,000,000",," $5,578,259", $0,,,,Kursk
2871,Kusama: Infinity,,,,,,,,,,430.0,"$558,052","$360,931",64.7%,"$197,121",35.3%,Kusama: Infinity
2872,L'Avventura,False,"[Drama, Mystery]",it,8.458,1960-06-29,7.6,288.0,,,,,,,,,L'Avventura
2873,L'attesa,,,,,,,,,,357.0,"$1,010,766","$55,804",5.5%,"$954,962",94.5%,L'attesa
2874,L'héritage de la chouette,,,,,,,,,,819.0,"$12,316","$12,316",100%,-,-,L'héritage de la chouette
2875,L'important c'est d'aimer,,,,,,,,,,639.0,"$19,120","$19,120",100%,-,-,L'important c'est d'aimer
2876,L.A. Confidential,False,"[Crime, Mystery]",en,13.55,1997-09-19,7.8,2609.0,"Sep 19, 1997"," $35,000,000",," $126,204,977"," $64,604,977",,,,L.A. Confidential
2877,L.A. Slasher,,,,,,,,,,714.0,"$2,421","$2,421",100%,-,-,L.A. Slasher
