,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
16,False,/vH1FgUSUo3Js8BxuePINqfqMogr.jpg,"[80, 18, 9648, 10749]",152742,en,La migliore offerta,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core.",9.916,/bXk6T8npfh2Ly24VMWSeZLsTLhC.jpg,2013-01-01,The Best Offer,False,7.9,1711
17,False,/6JDjZdFckZyMYgtawDwUb6HTwVp.jpg,[18],113,ko,봄 여름 가을 겨울 그리고 봄,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",8.687,/dGb8hlA2nQ88UbLUgsaI5QXiPDC.jpg,2003-09-19,"Spring, Summer, Fall, Winter... and Spring",False,7.9,526
18,False,/oNBv90rLY76ifEExrFHdJgLzBQG.jpg,"[35, 18, 14, 10749]",122906,en,About Time,"The night after another unsatisfactory New Year party, Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life – so he decides to make his world a better place... by getting a girlfriend. Sadly, that turns out not to be as easy as he thinks.",14.877,/zSuh8dGwqpsWR7ccvYbfxbSZ37o.jpg,2013-08-16,About Time,False,7.9,4643
19,False,/8UxYHvKBNFnoyfHjgjMwzj4zOuy.jpg,"[16, 35, 18]",24238,en,Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. He writes back, with chocolate. Thus begins a 20-year correspondence. Will the two ever meet face to face?",8.834,/k0lQISUC4NuvKYasJn59JHc2rla.jpg,2009-02-09,Mary and Max,False,7.9,1086
0,False,/qjm30F9hwJ6BNbsb7iOrrKwkY3n.jpg,"[35, 18, 10749]",696,en,Manhattan,Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,10.374,/k4eT3EvfxW1L9Wmt04UqJqCvCR6.jpg,1979-04-25,Manhattan,False,7.9,1348
1,False,/jVzoKlWUpsKV3y5oLafLQhEvgX6.jpg,"[14, 18, 9648]",5961,sv,Fanny och Alexander,"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.",9.923,/aVXiJ6n3S1AdvnY8xs9Dh9hFq64.jpg,1982-12-17,Fanny and Alexander,False,7.9,335
2,False,/hYEDx95UPZZYoFTGUP4E4j5memB.jpg,[35],10227,fr,PlayTime,"Clumsy Monsieur Hulot finds himself perplexed by the intimidating complexity of a gadget-filled Paris. He attempts to meet with a business contact but soon becomes lost. His roundabout journey parallels that of an American tourist, and as they weave through the inventive urban environment, they intermittently meet, developing an interest in one another. They eventually get together at a chaotic restaurant, along with several other quirky characters.",7.127,/76wAGzExpNfNqzxqUTSNbXbo7bD.jpg,1967-12-16,PlayTime,False,7.9,221
3,False,/dWmpJj4GUCDflRs9O4Q4FMydZj4.jpg,[18],169813,en,Short Term 12,"Grace, a compassionate young supervisor at a foster care facility, helps at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",12.046,/wYkiNNMM1O5c2yEcj8Lf9UbaB1a.jpg,2013-08-23,Short Term 12,False,7.9,793
4,False,/yNraM35Vsga5x54whRh7BvQ9afm.jpg,"[18, 36, 10752]",777,fr,La Grande Illusion,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.",11.847,/lWg41zE0FVixkNsFgxnlRyvDYv9.jpg,1937-06-04,Grand Illusion,False,7.8,300
5,False,/7RRuRcGuWkZGuRyYugfXn0Fgrrr.jpg,"[28, 80, 18, 53]",949,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",14.389,/6pmLVffM9jEYK7VqDJqPblMxfEY.jpg,1995-12-15,Heat,False,7.8,3692
6,False,/hziiv14OpD73u9gAak4XDDfBKa2.jpg,"[12, 14, 10751]",671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.444,/gHPtCmMeDqjaGqnMrWGDmD3nKd2.jpg,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.8,15741
7,False,/70EtzaGfO2d8X5n8SLI4s61KuJh.jpg,"[28, 80, 53]",393,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",17.991,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,2004-04-16,Kill Bill: Vol. 2,False,7.8,8691
8,False,/fHJDbaPJvoyaVnIvoUFml3yndqY.jpg,"[16, 18]",13398,ja,東京ゴッドファーザーズ,"One Christmas Eve three people, a middle-aged alcoholic named Gin, a former drag queen Hana and a dependent runaway girl Miyuki, discover an abandoned newborn while looking through the garbage.",9.725,/aY1q9dTGC8u8TUsAgnpJHsdAdJZ.jpg,2003-12-29,Tokyo Godfathers,False,7.8,420
9,False,/bkPFcKiMj8lPoYsxGSFBRXQMkyu.jpg,[18],990,en,The Hustler,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,12.361,/c7lg1HUBw6rXkpCMQ3TUyZaIWO4.jpg,1961-09-25,The Hustler,False,7.8,494
10,False,/3vGy4JXfIhKZOU0DMHYi2EHwOlo.jpg,[18],71157,fr,Polisse,"Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.",6.417,/cKs3XSFVbFeZcH3g9geAvr6ApOl.jpg,2011-10-06,Polisse,False,7.8,747
11,False,/kl7nwmkLbxdQcxNSl1lr85T33LM.jpg,"[18, 36, 10749]",887,en,The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family that's grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?",10.906,/ba6GlZzRlh7OHUitFnzUF1U7gpu.jpg,1946-12-25,The Best Years of Our Lives,False,7.8,288
12,False,/vxd0i0BYYtI9gvkxUuadFbmGHnw.jpg,"[35, 18]",499,fr,Cléo de cinq à sept,"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.",6.601,/hvprnfDDRE4boZjH6x9xF9Q8NJV.jpg,1962-04-11,Cléo from 5 to 7,False,7.8,208
13,False,/baddGVlv1zk1RDhf0dKUHyKxcQq.jpg,"[16, 10751]",13929,en,Geri's Game,"An aging codger named Geri plays a daylong game of chess in the park against himself. Somehow, he begins losing to his livelier opponent. But just when the game's nearly over, Geri manages to turn the tables.",11.088,/8PdCk3T9EkcKniUviDogWFCXx28.jpg,1997-11-24,Geri's Game,False,7.8,635
14,False,/9yJehIjvR7ULOLxeDJoth4kDDNe.jpg,"[12, 18]",5915,en,Into the Wild,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",14.912,/lHyYgaocXR6KcJLxVmxZDj115hH.jpg,2007-09-11,Into the Wild,False,7.8,6401
